"","TRACE",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
"","Position (m)",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
"Point","Time (ns)"
1,-100.1599999999999966,-28,1,0,13,4,3,-19,10,2,1,4,14,0,0,-2,1,-4,-18,-6,-4,2,8,-8,-3,5,-14,-2,6,12,4,-1,-5,-10,9,-11,2,15,-10,-4,-19,1,0,-11,9,-6,15,-3,-1,-3,9,1,4,-1,5,1,-17,15,-10,6,-1,-8,-2,9,-2,0,6,2,-13,-5,3,4,2,-2,10,9,-13,2,-22,-2,12,-4,-3,12,-4,8,0,3,-5,7,9,3,8,7,7,-6,7,9
2,-96.95999999999999375,13,0,22,-9,7,16,3,-7,4,-6,7,5,1,1,7,8,3,-2,5,0,7,3,4,6,0,-7,9,2,15,4,2,17,-8,-1,-9,-13,-16,-5,-3,3,2,-3,3,2,15,1,-16,5,-5,-7,2,12,8,10,-5,-2,2,4,-15,18,14,-3,-7,6,5,-1,-15,-9,1,-4,10,3,4,-8,-13,-6,1,-5,-15,-1,-2,-9,6,-9,7,7,6,6,-2,4,4,0,-7,7,9,-7,17
3,-93.75999999999999091,9,-5,2,13,28,-8,12,7,-8,-1,-9,7,-3,2,-1,7,13,13,0,7,-9,1,-10,-3,11,5,10,-11,5,-8,9,1,4,-9,1,4,8,16,-6,16,9,-3,4,8,7,9,8,-2,6,10,5,-11,5,8,2,12,-5,-17,3,-1,-7,9,2,-8,-6,10,-1,-5,22,8,-1,-5,-4,-10,-15,-2,-5,1,13,1,-4,17,-6,3,8,0,-1,6,4,-3,-3,5,-1,-14,-2,2,-18
4,-90.56000000000000227,4,6,4,13,-4,-8,16,1,2,-9,-7,6,9,12,1,-2,5,11,1,6,11,7,7,2,-14,6,-1,-7,-13,1,-3,-14,1,-3,4,-3,7,0,-5,-1,1,5,2,-7,-5,11,-1,4,30,5,-5,2,8,-2,6,-12,-3,-7,9,-8,-2,1,-11,-2,0,-12,8,3,6,5,-2,-4,-6,6,-8,-5,2,12,-3,-5,-8,0,11,-4,-3,4,0,13,2,3,6,4,12,-9,6,10,-8
5,-87.35999999999999943,-6,-9,-9,10,11,13,-16,-13,-1,-3,10,5,-3,6,-2,-12,1,1,4,-4,-2,6,15,-2,11,15,1,7,2,-6,-4,-3,2,-3,-7,-9,-10,-10,-6,5,-15,5,7,-1,-1,-14,8,-12,-7,-1,-8,-6,1,-2,8,-2,-1,10,4,10,-3,-2,16,15,-2,16,1,4,9,25,0,10,2,-3,-4,2,-7,4,3,3,-14,3,-6,13,8,1,6,-8,-6,2,3,-5,6,-4,3,-1,0
6,-84.15999999999999659,2,6,34,1,10,1,-8,6,5,2,-2,-3,5,1,4,5,-8,1,7,-8,-5,-7,15,10,3,14,3,1,2,-2,-3,17,8,4,7,2,3,20,8,14,5,3,-9,-2,4,-2,-6,4,8,-7,1,7,-3,-5,5,2,7,1,13,-16,2,2,43,-11,-8,-2,4,-19,-9,4,0,4,-4,-10,1,11,8,9,-18,13,9,5,-7,-5,1,-2,-3,8,0,7,1,-5,4,2,2,-3,-6
7,-80.95999999999999375,2,-9,4,-11,-14,5,29,4,-3,1,4,-6,-4,-1,5,-5,-3,-2,8,12,-4,-3,0,3,5,16,3,-4,9,7,-5,-22,4,-3,13,-5,5,2,12,-2,0,-7,-7,1,7,8,-5,13,-4,11,5,-4,4,16,0,2,16,1,-2,-4,1,6,-4,7,15,-9,-2,4,-16,3,-7,4,20,-13,8,5,5,-4,-3,15,2,8,-3,3,-1,3,-5,-5,2,4,-3,-9,2,8,-3,-1,1
8,-77.75999999999999091,20,9,-6,-8,5,3,-9,-5,-1,4,-10,7,4,-8,7,9,-6,16,-5,-3,2,-5,-2,1,-5,-1,-2,1,-1,9,10,-2,-4,-1,16,6,-12,9,5,3,-11,4,0,4,-1,2,4,1,0,3,4,1,0,-10,3,21,-8,3,-8,-7,-9,-11,5,16,2,3,-2,2,-3,-1,-7,13,12,17,5,0,11,3,14,2,-2,-2,3,-8,4,-2,-8,16,9,-9,-6,0,-2,0,9,1,1
9,-74.55999999999998806,22,1,-11,-14,1,-5,-2,-3,2,-8,2,-10,3,10,9,-3,10,-11,1,6,-2,2,-4,2,4,0,-1,0,-11,-3,-15,1,0,4,0,7,12,-16,13,9,11,13,4,-7,-2,3,11,3,11,0,5,7,-3,-1,5,10,-1,6,-2,-5,2,-6,-8,0,-11,-13,-2,-9,2,-1,-1,-3,2,-8,-14,-3,-9,7,4,-6,-3,6,5,4,-6,-3,2,-3,-5,-2,-7,0,10,10,-1,2,-12
10,-71.35999999999999943,13,-4,4,-4,3,-6,1,-3,-8,17,7,-10,-4,-4,-4,8,-1,-8,0,4,3,0,0,5,-2,-7,-8,6,24,-18,9,-5,5,10,4,7,3,13,11,-9,-7,0,-5,-3,1,-6,-3,8,-5,2,-7,3,-5,1,-1,7,-8,5,0,-2,-5,12,-7,-11,-12,-1,2,-1,5,-2,9,8,-2,-1,-2,3,-1,10,25,-14,3,3,0,12,-6,-5,0,-7,5,7,6,10,3,-2,15,3,13
11,-68.15999999999999659,4,-9,-6,-1,7,-1,3,4,-3,23,-1,-4,-1,0,4,-5,-5,0,-9,-4,4,4,8,-11,-5,0,-3,-2,-22,-3,2,4,1,-2,1,-16,4,2,1,-11,-8,-10,4,-5,-2,-9,4,-1,-11,8,-11,13,4,-1,-8,-3,-7,-5,-4,10,11,-11,13,4,14,10,1,13,-6,-9,0,-5,-8,-6,16,3,7,0,18,-4,10,-7,6,5,-2,0,3,-4,-5,-1,0,-4,-7,8,-4,-9,1
12,-64.95999999999999375,-16,3,15,-17,-21,17,-4,5,-3,-2,-1,-3,1,1,-1,-3,2,15,0,-5,5,-13,-4,-2,8,-10,6,6,-7,-2,9,8,4,-7,-8,6,15,2,-4,-5,-1,-1,3,7,6,-9,-1,-6,-14,-2,4,-2,4,11,-3,5,5,3,16,-4,7,1,-12,16,4,3,7,18,5,-2,2,-2,2,5,-2,5,-14,8,2,17,4,-2,-7,3,-2,-4,-2,5,-5,-8,6,7,3,-4,-10,4,-5
13,-61.75999999999999091,-31,2,-12,5,6,12,2,-1,16,-2,-5,-1,-3,-3,-15,7,8,-4,1,5,8,9,-10,10,-1,5,-5,-8,2,0,13,-5,-2,1,8,-9,12,-8,0,11,-12,1,6,-13,-8,1,-2,6,-12,11,-9,-4,2,-5,1,-7,-16,1,-7,13,3,9,-31,-7,9,3,3,23,2,3,1,-8,-7,3,5,7,4,-13,-13,-6,6,-6,5,-3,0,4,-6,10,3,-6,12,-4,-8,4,16,0,-7
14,-58.55999999999999517,10,0,6,13,-18,-5,-27,6,7,3,-5,2,-2,-4,8,-2,-1,6,11,3,0,-4,-5,8,-3,-1,3,-9,-6,7,-5,11,-8,-4,0,6,6,23,-8,6,10,4,4,2,3,1,0,-9,-6,9,6,0,-12,-1,0,7,6,12,6,10,-10,-2,-11,11,-5,0,15,-4,-1,-12,-2,1,7,13,10,7,-9,3,-12,2,15,1,10,3,2,1,5,-3,-2,-6,7,-3,-9,-1,-4,-1,7
15,-55.35999999999999233,8,0,-3,-11,-17,0,3,-8,0,-3,4,12,1,-12,-4,-2,1,-1,2,1,-2,21,3,0,-20,-17,3,14,-5,8,-4,2,-3,7,-7,-2,-1,-3,13,-6,9,7,1,7,3,-6,-8,-5,1,-11,9,-8,-2,-5,12,-13,-1,9,-6,-2,-10,15,1,-28,17,-1,-4,12,-11,8,10,-5,-7,19,12,1,-3,-5,-2,-5,4,-1,-10,7,3,0,4,-2,-1,-1,-1,3,-7,-2,-8,11,13
