x,E,N,z,base_h,base_z
0.0376,255025.2292,4208462.137,3780.781006,NaN,#VALUE!
0.0751,255025.2018,4208462.111,3780.80542,NaN,#VALUE!
0.113,255025.1744,4208462.086,3780.81543,NaN,#VALUE!
0.15,255025.1469,4208462.06,3780.833008,NaN,#VALUE!
0.188,255025.1195,4208462.034,3780.848389,NaN,#VALUE!
0.225,255025.0921,4208462.008,3780.862061,NaN,#VALUE!
0.263,255025.0647,4208461.983,3780.877441,NaN,#VALUE!
0.301,255025.0373,4208461.957,3780.891846,NaN,#VALUE!
0.338,255025.0099,4208461.931,3780.908691,NaN,#VALUE!
0.376,255024.9825,4208461.906,3780.925781,NaN,#VALUE!
0.413,255024.9551,4208461.88,3780.945068,NaN,#VALUE!
0.451,255024.9277,4208461.854,3780.963135,NaN,#VALUE!
0.488,255024.9003,4208461.829,3780.980225,NaN,#VALUE!
0.526,255024.8729,4208461.803,3780.994141,NaN,#VALUE!
0.564,255024.8455,4208461.777,3781.006592,NaN,#VALUE!
0.601,255024.818,4208461.751,3781.020752,NaN,#VALUE!
0.639,255024.7906,4208461.726,3781.034424,NaN,#VALUE!
0.676,255024.7632,4208461.7,3781.049072,NaN,#VALUE!
0.714,255024.7358,4208461.674,3781.057129,38.35442208,3742.702707
0.751,255024.7084,4208461.649,3781.073486,38.34703727,3742.726449
0.789,255024.681,4208461.623,3781.088623,38.33945287,3742.74917
0.827,255024.6536,4208461.597,3781.106201,38.33186846,3742.774333
0.864,255024.6262,4208461.572,3781.121094,38.32448365,3742.79661
0.902,255024.5988,4208461.546,3781.136475,38.31689925,3742.819576
0.939,255024.5714,4208461.52,3781.151611,38.30951443,3742.842097
0.977,255024.544,4208461.495,3781.166504,38.30193003,3742.864574
1.01,255024.5166,4208461.469,3781.178955,38.29534357,3742.883611
1.05,255024.4891,4208461.443,3781.191406,38.28735999,3742.904046
1.09,255024.4617,4208461.417,3781.20459,38.27937641,3742.925214
1.13,255024.4343,4208461.392,3781.219482,38.27139282,3742.948089
1.16,255024.4069,4208461.366,3781.233154,38.26540514,3742.967749
1.2,255024.3795,4208461.34,3781.248535,38.25742155,3742.991113
1.24,255024.3521,4208461.315,3781.265137,38.24943797,3743.015699
1.28,255024.3247,4208461.289,3781.28125,38.24145439,3743.039796
1.31,255024.2973,4208461.263,3781.297119,38.2354667,3743.061652
1.35,255024.2699,4208461.238,3781.304443,38.22748312,3743.07696
1.39,255024.2425,4208461.212,3781.320068,38.21949954,3743.100568
1.43,255024.2151,4208461.186,3781.334717,38.21151595,3743.123201
1.47,255024.1877,4208461.16,3781.348877,38.20353237,3743.145345
1.5,255024.1603,4208461.135,3781.362793,38.19754468,3743.165248
1.54,255024.1328,4208461.109,3781.379639,38.1895611,3743.190078
1.58,255024.1054,4208461.083,3781.396973,38.18157752,3743.215395
1.62,255024.078,4208461.058,3781.4104,38.17359394,3743.236806
1.65,255024.0506,4208461.032,3781.428467,38.16760625,3743.260861
1.69,255024.0232,4208461.006,3781.446045,38.15962267,3743.286422
1.73,255023.9958,4208460.981,3781.458008,38.15163908,3743.306369
1.77,255023.9684,4208460.955,3781.468506,38.1436555,3743.32485
1.8,255023.941,4208460.929,3781.477051,38.13766781,3743.339383
1.84,255023.9136,4208460.904,3781.483398,38.12968423,3743.353714
1.88,255023.8862,4208460.878,3781.48999,38.12170065,3743.368289
