"Name","Description","Count"
"line20_base","",59
"Tool","Interpretation","GPR Line","Position(m)","X(m)","Y(m)","Depth(m)","Time(ns)","Elevation(m)","Amplitude(mV)","Velocity(m/ns)","GPS-Easting (12T)","GPS-Northing (12T)","Latitude","Longtitude","GPS-Elevation","Comment"
"Point","line20_base","Lineset\line20",0.331,0.331,0.000,4.325,50.84,N/A,-2.421,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",1.369,1.369,0.000,4.140,48.60,N/A,-2.562,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",2.695,2.695,0.000,4.001,46.93,N/A,-1.280,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",4.310,4.310,0.000,3.863,45.25,N/A,-1.639,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",5.521,5.521,0.000,4.094,48.04,N/A,-0.648,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",6.905,6.905,0.000,4.325,50.84,N/A,-1.601,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",8.693,8.693,0.000,4.371,51.40,N/A,-2.161,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",10.192,10.192,0.000,4.509,53.07,N/A,-1.439,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",11.692,11.692,0.000,4.555,53.63,N/A,-2.536,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",12.903,12.903,0.000,4.463,52.51,N/A,0.625,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",14.518,14.518,0.000,4.601,54.19,N/A,0.098,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",16.651,16.651,0.000,4.463,52.51,N/A,0.432,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",18.151,18.151,0.000,4.463,52.51,N/A,4.591,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",19.362,19.362,0.000,4.648,54.75,N/A,5.443,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",21.265,21.265,0.000,4.740,55.87,N/A,-4.313,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",22.937,22.937,0.000,4.878,57.54,N/A,1.315,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",24.725,24.725,0.000,5.201,61.45,N/A,-2.010,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",27.493,27.493,0.000,5.201,61.45,N/A,0.103,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",28.877,28.877,0.000,5.294,62.57,N/A,3.000,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",31.127,31.127,0.000,5.524,65.36,N/A,-0.626,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",33.895,33.895,0.000,5.755,68.16,N/A,-1.526,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",35.509,35.509,0.000,5.940,70.39,N/A,-3.487,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",38.508,38.508,0.000,6.447,76.54,N/A,-6.261,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",39.258,39.258,0.000,6.862,81.56,N/A,0.990,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",41.276,41.276,0.000,7.000,83.24,N/A,-2.984,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",43.295,43.295,0.000,7.554,89.94,N/A,0.046,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",45.486,45.486,0.000,8.061,96.09,N/A,3.829,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",47.101,47.101,0.000,8.338,99.44,N/A,-1.066,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",48.543,48.543,0.000,8.845,105.59,N/A,0.846,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",50.042,50.042,0.000,9.168,109.50,N/A,-0.277,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",51.369,51.369,0.000,9.490,113.41,N/A,-1.437,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",52.407,52.407,0.000,9.998,119.55,N/A,1.064,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",54.656,54.656,0.000,10.413,124.58,N/A,-0.914,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",55.982,55.982,0.000,10.735,128.49,N/A,1.789,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",57.885,57.885,0.000,11.012,131.84,N/A,-0.972,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",59.154,59.154,0.000,11.381,136.31,N/A,0.279,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",60.942,60.942,0.000,11.888,142.46,N/A,1.483,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",62.441,62.441,0.000,12.210,146.37,N/A,2.788,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",64.229,64.229,0.000,12.764,153.07,N/A,3.065,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",65.959,65.959,0.000,13.132,157.54,N/A,-2.673,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",67.862,67.862,0.000,13.501,162.01,N/A,-0.312,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",69.708,69.708,0.000,13.870,166.48,N/A,1.265,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",70.861,70.861,0.000,14.147,169.83,N/A,3.236,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",72.361,72.361,0.000,14.700,176.54,N/A,0.536,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",73.399,73.399,0.000,15.022,180.45,N/A,0.518,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",74.552,74.552,0.000,15.068,181.01,N/A,0.865,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",75.879,75.879,0.000,14.976,179.89,N/A,-1.505,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",77.666,77.666,0.000,15.391,184.92,N/A,-1.924,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",78.877,78.877,0.000,15.483,186.03,N/A,1.712,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",80.204,80.204,0.000,15.898,191.06,N/A,0.690,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",81.184,81.184,0.000,16.359,196.65,N/A,-0.868,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",82.972,82.972,0.000,17.097,205.59,N/A,0.765,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",84.471,84.471,0.000,17.465,210.06,N/A,-0.680,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",85.740,85.740,0.000,17.880,215.08,N/A,0.701,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",87.701,87.701,0.000,18.433,221.79,N/A,-0.406,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",90.411,90.411,0.000,18.987,228.49,N/A,-0.710,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",92.661,92.661,0.000,19.309,232.40,N/A,0.851,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",94.967,94.967,0.000,19.678,236.87,N/A,0.845,0.165,N/A,N/A,N/A,N/A,N/A,""
"Point","line20_base","Lineset\line20",98.082,98.082,0.000,19.954,240.22,N/A,-0.539,0.165,N/A,N/A,N/A,N/A,N/A,""
