"Name","Description","Count"
"line63_base","",26
"Tool","Interpretation","GPR Line","Interpretation Number","Position(m)","X(m)","Y(m)","Z(m)","Depth(m)","Time(ns)","Amplitude(mV)","Velocity(m/ns)","GPS-Easting (7V)","GPS-Northing (7V)","Latitude","Longitude","Elevation(m)","GPS-Elevation","Comment"
"Point","line63_base","Lineset\line63",16,1.721,80.087,140.528,-16.502,16.502,216.79,0.005,0.150,406529.34,6806997.45,61.3856543,-142.7495881,529.220,545.72,""
"Point","line63_base","Lineset\line63",16,7.113,84.689,137.330,-17.105,17.105,224.82,-0.014,0.150,406533.94,6806994.25,61.3856267,-142.7495004,528.764,545.87,""
"Point","line63_base","Lineset\line63",16,15.201,91.479,133.385,-17.922,17.922,235.72,0.008,0.150,406540.73,6806990.31,61.3855929,-142.7493714,528.021,545.94,""
"Point","line63_base","Lineset\line63",16,20.716,96.351,130.390,-18.869,18.869,248.34,-0.001,0.150,406545.60,6806987.31,61.3855672,-142.7492787,527.353,546.22,""
"Point","line63_base","Lineset\line63",16,27.701,102.956,125.797,-19.256,19.256,253.50,0.003,0.150,406552.20,6806982.72,61.3855276,-142.7491529,527.514,546.77,""
"Point","line63_base","Lineset\line63",16,34.809,109.640,121.278,-20.289,20.289,267.26,0.019,0.150,406558.89,6806978.20,61.3854886,-142.7490255,527.072,547.36,""
"Point","line63_base","Lineset\line63",16,41.795,114.613,117.310,-21.149,21.149,278.74,0.003,0.150,406563.86,6806974.23,61.3854542,-142.7489305,527.140,548.29,""
"Point","line63_base","Lineset\line63",16,48.535,120.864,114.688,-22.139,22.139,291.93,-0.007,0.150,406570.11,6806971.61,61.3854322,-142.7488123,527.121,549.26,""
"Point","line63_base","Lineset\line63",16,55.153,129.608,113.721,-23.559,23.559,310.85,0.002,0.150,406578.86,6806970.64,61.3854256,-142.7486482,525.674,549.23,""
"Point","line63_base","Lineset\line63",16,63.732,138.390,114.512,-24.764,24.764,326.91,-0.002,0.150,406587.64,6806971.43,61.3854348,-142.7484843,525.175,549.94,""
"Point","line63_base","Lineset\line63",16,70.717,145.150,115.424,-25.710,25.710,339.53,0.000,0.150,406594.40,6806972.35,61.3854446,-142.7483583,524.724,550.43,""
"Point","line63_base","Lineset\line63",16,85.668,161.695,114.431,-27.646,27.646,365.34,0.006,0.150,406610.94,6806971.35,61.3854397,-142.7480483,524.614,552.26,""
"Point","line63_base","Lineset\line63",16,93.021,169.495,113.737,-27.947,27.947,369.35,0.001,0.150,406618.74,6806970.66,61.3854354,-142.7479020,524.768,552.72,""
"Point","line63_base","Lineset\line63",16,102.213,178.679,112.977,-28.592,28.592,377.96,-0.001,0.150,406627.93,6806969.90,61.3854307,-142.7477298,525.092,553.68,""
"Point","line63_base","Lineset\line63",16,111.036,187.666,110.958,-29.367,29.367,388.28,-0.002,0.150,406636.92,6806967.88,61.3854148,-142.7475607,524.834,554.20,""
"Point","line63_base","Lineset\line63",16,119.125,195.699,109.259,-29.840,29.840,394.59,-0.000,0.150,406644.95,6806966.18,61.3854015,-142.7474096,524.060,553.90,""
"Point","line63_base","Lineset\line63",16,129.174,205.997,106.313,-30.916,30.916,408.93,0.001,0.150,406655.25,6806963.24,61.3853775,-142.7472154,523.069,553.98,""
"Point","line63_base","Lineset\line63",16,141.184,219.474,103.931,-32.034,32.034,423.84,-0.003,0.150,406668.72,6806960.85,61.3853594,-142.7469621,522.152,554.19,""
"Point","line63_base","Lineset\line63",16,150.130,229.493,104.549,-32.938,32.938,435.88,-0.001,0.150,406678.74,6806961.47,61.3853673,-142.7467750,521.753,554.69,""
"Point","line63_base","Lineset\line63",16,162.018,241.368,106.748,-33.884,33.884,448.50,-0.000,0.150,406690.62,6806963.67,61.3853899,-142.7465539,521.351,555.23,""
"Point","line63_base","Lineset\line63",16,171.577,250.158,109.548,-35.175,35.175,465.71,0.002,0.150,406699.41,6806966.47,61.3854172,-142.7463909,520.797,555.97,""
"Point","line63_base","Lineset\line63",16,184.445,261.303,112.062,-36.895,36.895,488.65,0.001,0.150,406710.55,6806968.99,61.3854424,-142.7461837,520.322,557.22,""
"Point","line63_base","Lineset\line63",16,195.352,270.329,113.967,-38.917,38.917,515.60,-0.003,0.150,406719.58,6806970.89,61.3854617,-142.7460158,519.504,558.42,""
"Point","line63_base","Lineset\line63",16,203.440,277.532,114.392,-39.605,39.605,524.78,0.001,0.150,406726.78,6806971.31,61.3854672,-142.7458812,519.567,559.17,""
"Point","line63_base","Lineset\line63",16,243.759,312.607,123.260,-47.004,47.004,623.43,0.000,0.150,406761.86,6806980.18,61.3855552,-142.7452295,516.806,563.81,""
"Point","line63_base","Lineset\line63",16,263.980,331.975,123.985,-47.048,47.048,624.00,0.000,0.150,406781.22,6806980.91,61.3855663,-142.7448675,517.546,564.59,""
