"Name","Description","Count"
"sc_base","",33
,,,,,,,,,,,,,
"Tool","Interpretation","GPR Line","Interpretation Number","Position(m)","X(m)","Y(m)","Z(m)","Depth(m)","Time(ns)","Amplitude(mV)","Velocity(m/ns)","GPS-Easting (12T)","GPS-Northing (12T)","Latitude","Longitude","Elevation(m)","GPS-Elevation","Comment"
"Point","sc_base","Lineset\MergedLine",2,8.125,8.125,0.000,-3.606,3.606,69.48,14.396,0.100,597913.65,4940512.42,44.6112967,-109.7659985,3123.059,3126.67,""
"Point","sc_base","Lineset\MergedLine",2,10.873,10.873,0.000,-3.938,3.938,76.06,6.180,0.100,597911.24,4940511.63,44.6112900,-109.7660290,3123.576,3127.51,""
"Point","sc_base","Lineset\MergedLine",2,13.417,13.417,0.000,-4.012,4.012,77.52,3.065,0.100,597909.31,4940510.44,44.6112795,-109.7660536,3124.145,3128.16,""
"Point","sc_base","Lineset\MergedLine",2,17.068,17.068,0.000,-4.122,4.122,79.71,9.162,0.100,597906.23,4940509.08,44.6112677,-109.7660926,3125.049,3129.17,""
"Point","sc_base","Lineset\MergedLine",2,19.694,19.694,0.000,-4.417,4.417,85.56,3.009,0.100,597903.91,4940508.20,44.6112600,-109.7661220,3125.518,3129.94,""
"Point","sc_base","Lineset\MergedLine",2,21.868,21.868,0.000,-4.490,4.490,87.03,14.775,0.100,597902.38,4940506.95,44.6112490,-109.7661415,3126.168,3130.66,""
"Point","sc_base","Lineset\MergedLine",2,24.945,24.945,0.000,-4.637,4.637,89.95,-17.031,0.100,597899.78,4940505.20,44.6112336,-109.7661747,3126.763,3131.40,""
"Point","sc_base","Lineset\MergedLine",2,27.939,27.939,0.000,-4.601,4.601,89.22,-10.010,0.100,597897.06,4940504.52,44.6112279,-109.7662091,3127.649,3132.25,""
"Point","sc_base","Lineset\MergedLine",2,31.385,31.385,0.000,-4.968,4.968,96.53,-0.460,0.100,597894.08,4940502.98,44.6112144,-109.7662469,3128.230,3133.20,""
"Point","sc_base","Lineset\MergedLine",2,34.462,34.462,0.000,-5.152,5.152,100.19,0.169,0.100,597891.81,4940501.41,44.6112006,-109.7662757,3129.043,3134.20,""
"Point","sc_base","Lineset\MergedLine",2,38.401,38.401,0.000,-5.336,5.336,103.85,-8.398,0.100,597888.54,4940499.78,44.6111864,-109.7663173,3130.177,3135.51,""
"Point","sc_base","Lineset\MergedLine",2,42.134,42.134,0.000,-5.776,5.776,112.62,1.353,0.100,597885.31,4940498.39,44.6111743,-109.7663582,3131.140,3136.92,""
"Point","sc_base","Lineset\MergedLine",2,45.006,45.006,0.000,-6.180,6.180,120.67,-13.196,0.100,597883.24,4940497.20,44.6111639,-109.7663845,3131.669,3137.85,""
