"Name","Description","Count"
"line14_base","",22
,,,,,,,,,,,,,
"Tool","Interpretation","GPR Line","Interpretation Number","Position(m)","X(m)","Y(m)","Z(m)","Depth(m)","Time(ns)","Amplitude(mV)","Velocity(m/ns)","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","Elevation(m)","GPS-n/a","Comment"
"Point","line14_base","Lineset\line14",5,0.621,0.621,0.000,-36.095,36.095,503.10,0.870,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,5.601,5.601,0.000,-35.032,35.032,487.94,-0.311,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,9.851,9.851,0.000,-33.873,33.873,471.40,-2.599,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,15.680,15.680,0.000,-32.133,32.133,446.58,-0.900,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,20.174,20.174,0.000,-30.779,30.779,427.29,0.822,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,26.610,26.610,0.000,-28.942,28.942,401.10,-0.365,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,32.196,32.196,0.000,-27.878,27.878,385.94,-1.440,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,36.993,36.993,0.000,-25.943,25.943,358.37,-4.701,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,41.365,41.365,0.000,-24.201,24.201,333.56,-6.510,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,46.041,46.041,0.000,-22.554,22.554,310.13,0.349,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,50.534,50.534,0.000,-20.616,20.616,282.56,5.953,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,54.785,54.785,0.000,-18.774,18.774,256.37,-15.477,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,58.853,58.853,0.000,-18.483,18.483,252.24,6.485,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,63.407,63.407,0.000,-17.318,17.318,235.70,-22.312,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,67.597,67.597,0.000,-15.957,15.957,216.40,-19.948,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,71.787,71.787,0.000,-14.887,14.887,201.24,-25.954,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,76.948,76.948,0.000,-14.205,14.205,191.59,-43.243,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,80.409,80.409,0.000,-13.523,13.523,181.94,-40.956,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,84.174,84.174,0.000,-12.644,12.644,169.54,-18.897,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,88.060,88.060,0.000,-11.960,11.960,159.89,-47.458,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,91.946,91.946,0.000,-11.569,11.569,154.38,-35.667,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","line14_base","Lineset\line14",5,95.771,95.771,0.000,-11.373,11.373,151.62,-35.197,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
