"","TRACE",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
"","Position (m)",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
"Point","Time (ns)"
1,-100.1599999999999966,-13,12,-2,-27,20,-4,-34,57,9,-10,-33,15,3,-5,-6,3,-4,-8,24,6,3,-62,10,-9,14,9,-9,15,36,-40,0,7,-3,-1,16,13,19,-14,17,-60,-35,11,-34,-8,74,47,-34,-12,17,9,50,28,28,9,-16,52,12,113,-4,2,16,-50,29,-31,-86,-22,-31,6,-16,2,15,-2,31,1,-16,-22,4,-5,63,58,5,18,-2,11,-34,-36,12,7,-20,-24,8,-146,7,42,19,-11,10,-6,-9
2,-96.95999999999999375,10,-9,6,-18,-12,8,-4,19,38,11,-105,-10,-12,5,10,18,-9,-8,-4,5,16,34,-8,0,8,13,-6,-5,-4,13,16,11,14,-2,-6,-22,28,-12,9,6,8,-16,19,-203,-81,71,-37,-2,-29,32,2,22,-53,22,-6,2,27,-32,23,-2,-1,-23,-21,15,-7,-4,-62,1,-15,-34,-15,-12,7,-8,-5,-8,8,27,5,-12,10,-37,-13,17,15,-6,2,-17,9,27,2,-18,34,-20,-16,-2,13,-32,20
3,-93.75999999999999091,4,-7,10,-19,-50,4,10,24,28,34,99,18,7,1,-24,-3,-11,-9,7,-5,6,6,12,2,-3,6,12,-18,18,21,-18,8,9,15,14,30,11,0,4,7,5,-4,1,-86,-53,-38,68,27,17,-35,5,-7,-6,-5,-32,-5,-55,-28,-8,-3,10,-36,-28,25,40,-16,-17,0,-26,3,30,4,11,8,26,-18,20,39,68,34,7,5,27,19,-7,-8,21,-10,39,58,-29,-4,-33,21,19,37,-10,23,-27
4,-90.56000000000000227,6,-18,4,31,3,-12,-20,-85,12,-32,-5,-4,-14,-4,-1,-2,22,-20,-3,11,27,40,26,6,15,11,6,6,4,11,11,-6,-2,-22,-8,-14,1,-5,-31,17,4,11,-11,101,-4,-30,-23,-4,3,-27,26,16,79,-82,8,23,-42,-9,21,-5,-17,-20,-7,111,-1,6,31,-3,-8,39,25,18,5,-2,-30,32,16,36,36,10,-1,7,35,-4,12,5,-3,2,-24,3,1,-21,25,-8,-20,-5,1,23,24
5,-87.35999999999999943,-7,-4,-20,37,42,-4,-1,-170,11,-51,-32,8,19,-4,-6,-3,16,5,19,-6,-10,-3,19,13,-9,7,0,17,-5,30,7,-9,-1,-4,5,-10,9,8,19,3,18,-38,-19,38,-3,15,-10,21,20,26,-18,11,52,-12,32,14,3,17,-10,6,4,82,-79,32,57,-25,3,0,-13,-7,-34,30,-16,-2,-21,-24,10,-1,-55,-29,24,11,-17,-51,35,3,-20,-49,8,-11,25,13,-6,-2,29,27,12,6,25
6,-84.15999999999999659,0,3,24,-10,29,37,21,-28,-295,-6,-20,2,4,-5,-8,-2,-14,33,8,-9,-12,7,-15,-8,19,-54,5,18,21,12,-12,-13,-15,30,16,20,-17,18,6,22,14,-3,22,-85,-17,42,6,10,-8,-45,-5,16,-11,8,23,-9,69,0,9,5,-32,-18,-7,-41,2,-34,13,-2,6,2,-1,-14,6,11,21,22,7,-16,-21,-21,-10,-24,8,-4,-10,-9,-23,-9,-4,-40,33,30,8,-16,62,-11,24,-11,9
7,-80.95999999999999375,-6,4,-18,1,6,21,-25,126,-72,-16,32,-15,7,0,-11,-23,10,29,2,3,16,-6,-15,29,-23,-6,11,1,-3,15,5,-11,6,-24,13,1,2,-37,3,-8,7,-13,-5,84,19,-23,-27,-19,-1,16,-66,16,25,10,13,17,5,6,-8,4,-12,12,-31,8,22,11,10,-38,-12,23,47,0,-20,7,7,-31,-12,-12,15,36,-4,56,55,39,32,21,-10,32,3,31,2,-8,-42,-17,-26,17,-33,6,29
8,-77.75999999999999091,8,-7,-8,0,9,4,10,22,15,18,302,6,5,10,5,0,35,-18,-3,1,-5,-9,23,-10,8,5,-8,-5,6,-12,-5,13,11,2,16,-11,-8,28,-28,11,-2,15,-7,-25,-94,7,-6,-11,-30,27,12,0,-20,30,-11,9,-23,-1,-14,-10,37,-75,43,-36,-10,-31,3,28,79,-11,29,-17,3,-3,20,19,9,-3,-37,-12,6,-9,-38,32,-23,0,-8,32,-4,34,-22,12,3,16,-14,-4,32,3,6
