"Name","Description","Count"
"imogene_long_1","",26
,,,,,,,,,,,,,
"Tool","Interpretation","GPR Line","Interpretation Number","Position(m)","X(m)","Y(m)","Z(m)","Depth(m)","Time(ns)","Amplitude(mV)","Velocity(m/ns)","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","Elevation(m)","GPS-n/a","Comment"
"Point","imogene_long_1","Lineset\MergedLine",2,1.764,1.764,0.000,-26.024,26.024,359.52,-1.596,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,9.668,9.668,0.000,-26.699,26.699,369.14,-1.597,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,13.935,13.935,0.000,-27.205,27.205,376.35,-1.393,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,19.309,19.309,0.000,-26.614,26.614,367.94,-1.732,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,26.896,26.896,0.000,-24.250,24.250,334.27,-1.684,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,33.535,33.535,0.000,-22.814,22.814,313.83,-1.741,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,38.751,38.751,0.000,-22.054,22.054,303.01,-2.023,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,47.128,47.128,0.000,-20.448,20.448,280.16,-1.097,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,59.773,59.773,0.000,-19.856,19.856,271.74,-1.988,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,66.728,66.728,0.000,-20.870,20.870,286.17,-2.013,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,73.367,73.367,0.000,-20.363,20.363,278.96,-0.794,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,80.005,80.005,0.000,-20.194,20.194,276.55,-1.694,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,86.960,86.960,0.000,-19.348,19.348,264.53,-1.620,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,93.757,93.757,0.000,-18.925,18.925,258.52,-1.414,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,104.347,104.347,0.000,-20.109,20.109,275.35,-1.656,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,113.356,113.356,0.000,-20.194,20.194,276.55,-2.316,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,121.734,121.734,0.000,-20.617,20.617,282.57,-1.918,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,130.427,130.427,0.000,-21.969,21.969,301.80,-2.595,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,139.911,139.911,0.000,-22.307,22.307,306.61,-2.126,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,150.185,150.185,0.000,-22.054,22.054,303.01,-2.454,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,161.091,161.091,0.000,-21.631,21.631,296.99,-1.892,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,168.836,168.836,0.000,-20.870,20.870,286.17,-1.325,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,176.897,176.897,0.000,-20.701,20.701,283.77,-0.953,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,184.010,184.010,0.000,-20.955,20.955,287.37,-1.527,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,190.965,190.965,0.000,-21.547,21.547,295.79,-1.710,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","imogene_long_1","Lineset\MergedLine",2,198.236,198.236,0.000,-21.462,21.462,294.59,-1.159,0.140,N/A,N/A,N/A,N/A,N/A,N/A,""
