"Name","Description","Count"
"cmp1","",25
"Tool","Interpretation","GPR Line","Interpretation Number","Position(m)","X(m)","Y(m)","Z(m)","Depth(m)","Time(ns)","Amplitude(mV)","Velocity(m/ns)","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","Elevation(m)","GPS-n/a","Comment"
"Point","cmp1","Lineset\line2",1,4.585,"N/A","N/A","N/A","N/A",264.12,-2.244,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,5.620,"N/A","N/A","N/A","N/A",267.18,-1.438,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,6.846,"N/A","N/A","N/A","N/A",266.79,-0.610,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,8.073,"N/A","N/A","N/A","N/A",266.03,-0.340,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,9.425,"N/A","N/A","N/A","N/A",264.89,-0.818,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,11.138,"N/A","N/A","N/A","N/A",266.79,-0.700,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,12.491,"N/A","N/A","N/A","N/A",268.32,-0.648,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,14.647,"N/A","N/A","N/A","N/A",270.23,-0.955,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,16.169,"N/A","N/A","N/A","N/A",277.10,-0.396,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,17.543,"N/A","N/A","N/A","N/A",278.63,-1.055,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,19.467,"N/A","N/A","N/A","N/A",285.50,-0.411,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,20.862,"N/A","N/A","N/A","N/A",293.13,-0.429,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,22.320,"N/A","N/A","N/A","N/A",299.24,-0.114,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,23.863,"N/A","N/A","N/A","N/A",303.44,-0.837,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,24.942,"N/A","N/A","N/A","N/A",308.40,-0.712,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,26.104,"N/A","N/A","N/A","N/A",314.12,-0.489,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,28.091,"N/A","N/A","N/A","N/A",323.28,-0.383,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,29.740,"N/A","N/A","N/A","N/A",330.92,-0.615,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,31.516,"N/A","N/A","N/A","N/A",341.60,-0.137,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,32.953,"N/A","N/A","N/A","N/A",347.71,-0.140,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,34.222,"N/A","N/A","N/A","N/A",354.58,-0.064,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,35.215,"N/A","N/A","N/A","N/A",356.49,-0.159,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,36.462,"N/A","N/A","N/A","N/A",358.78,-0.150,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,38.027,"N/A","N/A","N/A","N/A",359.92,0.049,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp1","Lineset\line2",1,39.697,"N/A","N/A","N/A","N/A",362.98,0.106,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
