x,E,N,z,h
1.76763505982614,260102.8356,4203477.386,3506.992676,26.0243104333733
1.79441740908997,260102.8269,4203477.362,3507.000732,26.0265976405789
1.82119975835381,260102.8182,4203477.338,3507.009766,26.0288848477845
1.84798210761764,260102.8095,4203477.314,3507.032471,26.0311720549901
1.87476445688148,260102.8008,4203477.29,3507.047607,26.0334592621957
1.90154680614531,260102.7921,4203477.266,3507.063477,26.0357464694013
1.92832915540915,260102.7834,4203477.242,3507.088867,26.0380336766069
1.95511150572461,260102.7747,4203477.218,3507.095947,26.0403208839023
1.98189385498845,260102.766,4203477.194,3507.113037,26.0426080911079
2.00867620425228,260102.7573,4203477.17,3507.121826,26.0448952983136
2.03545855351612,260102.7486,4203477.146,3507.130615,26.0471825055192
2.06224090277995,260102.7399,4203477.122,3507.144531,26.0494697127248
2.08902325204379,260102.7312,4203477.098,3507.150391,26.0517569199304
2.11580560130762,260102.7225,4203477.075,3507.154297,26.054044127136
2.14258795057146,260102.7138,4203477.051,3507.158936,26.0563313343416
2.16937029983529,260102.7051,4203477.027,3507.160156,26.0586185415472
2.19615265015075,260102.6964,4203477.003,3507.161865,26.0609057488426
2.22293499941459,260102.6877,4203476.979,3507.168701,26.0631929560482
2.24971734867843,260102.679,4203476.955,3507.175049,26.0654801632538
2.27649969794226,260102.6703,4203476.931,3507.189209,26.0677673704594
2.3032820472061,260102.6616,4203476.907,3507.197998,26.070054577665
2.33006439646993,260102.6529,4203476.883,3507.206543,26.0723417848706
2.35684674573377,260102.6442,4203476.859,3507.22168,26.0746289920762
2.3836290949976,260102.6354,4203476.835,3507.227051,26.0769161992818
2.41041144531306,260102.6267,4203476.811,3507.233154,26.0792034065772
2.4371937945769,260102.618,4203476.787,3507.247803,26.0814906137828
2.46397614384073,260102.6093,4203476.763,3507.253174,26.0837778209884
2.49075849310457,260102.6006,4203476.739,3507.257324,26.086065028194
2.5175408423684,260102.5919,4203476.716,3507.26416,26.0883522353996
2.54432319163224,260102.5832,4203476.692,3507.267334,26.0906394426052
2.57110554089608,260102.5745,4203476.668,3507.271973,26.0929266498108
2.59788789015991,260102.5658,4203476.644,3507.273926,26.0952138570164
2.62467023942375,260102.5571,4203476.62,3507.276367,26.097501064222
2.65145258973921,260102.5484,4203476.596,3507.281982,26.0997882715175
2.67823493900304,260102.5397,4203476.572,3507.285156,26.1020754787231
2.70501728826688,260102.531,4203476.548,3507.287109,26.1043626859287
2.73179963753071,260102.5223,4203476.524,3507.289795,26.1066498931343
2.75858198679455,260102.5136,4203476.5,3507.291016,26.1089371003399
2.78536433605838,260102.5049,4203476.476,3507.292725,26.1112243075455
2.81214668532222,260102.4962,4203476.452,3507.298584,26.1135115147511
2.83892903458605,260102.4875,4203476.428,3507.30127,26.1157987219567
2.86571138490152,260102.4788,4203476.404,3507.310303,26.1180859292521
2.89249373416535,260102.4701,4203476.38,3507.314697,26.1203731364577
2.91927608342919,260102.4614,4203476.357,3507.31958,26.1226603436633
2.94605843269302,260102.4527,4203476.333,3507.327393,26.1249475508689
2.97284078195686,260102.444,4203476.309,3507.330078,26.1272347580745
2.99962313122069,260102.4353,4203476.285,3507.332275,26.1295219652801
3.02640548048453,260102.4266,4203476.261,3507.335938,26.1318091724857
3.05318782974836,260102.4179,4203476.237,3507.337402,26.1340963796913
3.0799701790122,260102.4092,4203476.213,3507.338867,26.1363835868969
3.10675252932766,260102.4005,4203476.189,3507.346191,26.1386707941923
3.13353487859149,260102.3918,4203476.165,3507.348877,26.1409580013979
3.16031722785533,260102.3831,4203476.141,3507.357422,26.1432452086035
3.18709957711917,260102.3743,4203476.117,3507.361328,26.1455324158091
3.213881926383,260102.3656,4203476.093,3507.36499,26.1478196230147
3.24066427564684,260102.3569,4203476.069,3507.374756,26.1501068302203
3.26744662491067,260102.3482,4203476.045,3507.37793,26.1523940374259
3.29422897417451,260102.3395,4203476.021,3507.380859,26.1546812446316
3.32101132448997,260102.3308,4203475.997,3507.385742,26.156968451927
3.3477936737538,260102.3221,4203475.974,3507.386963,26.1592556591326
3.37457602301764,260102.3134,4203475.95,3507.389404,26.1615428663382
3.40135837228147,260102.3047,4203475.926,3507.404785,26.1638300735438
3.42814072154531,260102.296,4203475.902,3507.413818,26.1661172807494
3.45492307080914,260102.2873,4203475.878,3507.420654,26.168404487955
3.48170542007298,260102.2786,4203475.854,3507.422363,26.1706916951606
3.50848776933682,260102.2699,4203475.83,3507.424072,26.1729789023662
3.53527011860065,260102.2612,4203475.806,3507.426514,26.1752661095718
3.56205246891611,260102.2525,4203475.782,3507.42749,26.1775533168672
3.58883481817995,260102.2438,4203475.758,3507.427979,26.1798405240728
3.61561716744378,260102.2351,4203475.734,3507.430176,26.1821277312784
3.64239951670762,260102.2264,4203475.71,3507.430908,26.184414938484
3.66918186597145,260102.2177,4203475.686,3507.432373,26.1867021456896
3.69596421523529,260102.209,4203475.662,3507.442139,26.1889893528952
3.72274656449912,260102.2003,4203475.638,3507.44458,26.1912765601008
3.74952891376296,260102.1916,4203475.615,3507.454346,26.1935637673064
3.77631126302679,260102.1829,4203475.591,3507.456787,26.195850974512
3.80309361334226,260102.1742,4203475.567,3507.460449,26.1981381818074
3.82987596260609,260102.1655,4203475.543,3507.474365,26.200425389013
3.85665831186993,260102.1568,4203475.519,3507.485352,26.2027125962186
3.88344066113376,260102.1481,4203475.495,3507.497559,26.2049998034243
3.9102230103976,260102.1394,4203475.471,3507.51123,26.2072870106299
3.93700535966143,260102.1307,4203475.447,3507.514648,26.2095742178355
3.96378770892527,260102.122,4203475.423,3507.516846,26.2118614250411
3.9905700581891,260102.1132,4203475.399,3507.521484,26.2141486322467
4.01735240850456,260102.1045,4203475.375,3507.52417,26.2164358395421
4.0441347577684,260102.0958,4203475.351,3507.529297,26.2187230467477
4.07091710703223,260102.0871,4203475.327,3507.533447,26.2210102539533
4.09769945629607,260102.0784,4203475.303,3507.538574,26.2232974611589
4.12448180555991,260102.0697,4203475.279,3507.542725,26.2255846683645
4.15126415482374,260102.061,4203475.256,3507.544678,26.2278718755701
4.17804650408758,260102.0523,4203475.232,3507.548584,26.2301590827757
4.20482885335141,260102.0436,4203475.208,3507.556396,26.2324462899813
4.23161120261525,260102.0349,4203475.184,3507.562988,26.2347334971869
4.25839355293071,260102.0262,4203475.16,3507.568848,26.2370207044823
4.28517590219454,260102.0175,4203475.136,3507.577148,26.2393079116879
4.31195825145838,260102.0088,4203475.112,3507.582764,26.2415951188935
4.33874060072221,260102.0001,4203475.088,3507.59082,26.2438823260991
4.36552294998605,260101.9914,4203475.064,3507.594727,26.2461695333047
4.39230529924988,260101.9827,4203475.04,3507.598145,26.2484567405103
4.41908764851372,260101.974,4203475.016,3507.602295,26.2507439477159
4.44586999777755,260101.9653,4203474.992,3507.604736,26.2530311549215
4.47265234809302,260101.9566,4203474.968,3507.607178,26.255318362217
4.49943469735685,260101.9479,4203474.944,3507.610596,26.2576055694226
4.52621704662069,260101.9392,4203474.92,3507.612549,26.2598927766282
4.55299939588452,260101.9305,4203474.897,3507.615479,26.2621799838338
4.57978174514836,260101.9218,4203474.873,3507.618652,26.2644671910394
4.60656409441219,260101.9131,4203474.849,3507.623779,26.266754398245
4.63334644367603,260101.9044,4203474.825,3507.63208,26.2690416054506
4.66012879293986,260101.8957,4203474.801,3507.64209,26.2713288126562
4.6869111422037,260101.887,4203474.777,3507.6521,26.2736160198618
4.71369349251916,260101.8783,4203474.753,3507.659424,26.2759032271572
4.740475841783,260101.8696,4203474.729,3507.662354,26.2781904343628
4.76725819104683,260101.8608,4203474.705,3507.663818,26.2804776415684
4.79404054031067,260101.8521,4203474.681,3507.666016,26.282764848774
4.8208228895745,260101.8434,4203474.657,3507.667969,26.2850520559796
4.84760523883834,260101.8347,4203474.633,3507.669922,26.2873392631852
4.87438758810217,260101.826,4203474.609,3507.670654,26.2896264703908
4.90116993736601,260101.8173,4203474.585,3507.671631,26.2919136775964
4.92795228768147,260101.8086,4203474.561,3507.672363,26.2942008848918
4.9547346369453,260101.7999,4203474.538,3507.67334,26.2964880920974
4.98151698620914,260101.7912,4203474.514,3507.674072,26.298775299303
5.00829933547297,260101.7825,4203474.49,3507.674561,26.3010625065086
5.03508168473681,260101.7738,4203474.466,3507.675049,26.3033497137142
5.06186403400064,260101.7651,4203474.442,3507.676514,26.3056369209198
5.08864638326448,260101.7564,4203474.418,3507.679932,26.3079241281254
5.11542873252832,260101.7477,4203474.394,3507.685303,26.3102113353311
5.14221108179215,260101.739,4203474.37,3507.689209,26.3124985425367
5.16899343210761,260101.7303,4203474.346,3507.692627,26.3147857498321
5.19577578137145,260101.7216,4203474.322,3507.694824,26.3170729570377
5.22255813063528,260101.7129,4203474.298,3507.695801,26.3193601642433
5.24934047989912,260101.7042,4203474.274,3507.698242,26.3216473714489
5.27612282916295,260101.6955,4203474.25,3507.700195,26.3239345786545
5.30290517842679,260101.6868,4203474.226,3507.700928,26.3262217858601
5.32968752769062,260101.6781,4203474.202,3507.702393,26.3285089930657
5.35646987695446,260101.6694,4203474.178,3507.703613,26.3307962002713
5.38325222726992,260101.6607,4203474.155,3507.704346,26.3330834075667
5.41003457653376,260101.652,4203474.131,3507.705322,26.3353706147723
5.43681692579759,260101.6433,4203474.107,3507.705566,26.3376578219779
5.46359927506143,260101.6346,4203474.083,3507.706787,26.3399450291835
5.49038162432526,260101.6259,4203474.059,3507.708008,26.3422322363891
5.5171639735891,260101.6172,4203474.035,3507.708252,26.3445194435947
5.54394632285293,260101.6085,4203474.011,3507.709473,26.3468066508003
5.57072867211677,260101.5997,4203473.987,3507.711182,26.3490938580059
5.5975110213806,260101.591,4203473.963,3507.711426,26.3513810652115
5.62429337169606,260101.5823,4203473.939,3507.714111,26.3536682725069
5.6510757209599,260101.5736,4203473.915,3507.717529,26.3559554797125
5.67785807022373,260101.5649,4203473.891,3507.719238,26.3582426869181
5.70464041948757,260101.5562,4203473.867,3507.722168,26.3605298941238
5.7314227687514,260101.5475,4203473.843,3507.723389,26.3628171013294
5.75820511801524,260101.5388,4203473.819,3507.72583,26.365104308535
5.78498746727908,260101.5301,4203473.796,3507.728027,26.3673915157406
5.81176981654291,260101.5214,4203473.772,3507.72876,26.3696787229462
5.83855216685837,260101.5127,4203473.748,3507.730957,26.3719659302416
5.86533451612221,260101.504,4203473.724,3507.733154,26.3742531374472
5.89211686538604,260101.4953,4203473.7,3507.733398,26.3765403446528
5.91889921464988,260101.4866,4203473.676,3507.734863,26.3788275518584
5.94568156391371,260101.4779,4203473.652,3507.736328,26.381114759064
