x,E,N,z,h
0.0376,255025.2292,4208462.137,3780.781006,NaN
0.0751,255025.2018,4208462.111,3780.80542,NaN
0.113,255025.1744,4208462.086,3780.81543,NaN
0.15,255025.1469,4208462.06,3780.833008,NaN
0.188,255025.1195,4208462.034,3780.848389,NaN
0.225,255025.0921,4208462.008,3780.862061,NaN
0.263,255025.0647,4208461.983,3780.877441,NaN
0.301,255025.0373,4208461.957,3780.891846,NaN
0.338,255025.0099,4208461.931,3780.908691,NaN
0.376,255024.9825,4208461.906,3780.925781,NaN
0.413,255024.9551,4208461.88,3780.945068,NaN
0.451,255024.9277,4208461.854,3780.963135,NaN
0.488,255024.9003,4208461.829,3780.980225,NaN
0.526,255024.8729,4208461.803,3780.994141,NaN
0.564,255024.8455,4208461.777,3781.006592,NaN
0.601,255024.818,4208461.751,3781.020752,NaN
0.639,255024.7906,4208461.726,3781.034424,NaN
0.676,255024.7632,4208461.7,3781.049072,NaN
0.714,255024.7358,4208461.674,3781.057129,38.3544220839402
0.751,255024.7084,4208461.649,3781.073486,38.347037269959
0.789,255024.681,4208461.623,3781.088623,38.3394528664107
0.827,255024.6536,4208461.597,3781.106201,38.3318684628624
0.864,255024.6262,4208461.572,3781.121094,38.3244836488812
0.902,255024.5988,4208461.546,3781.136475,38.316899245333
0.939,255024.5714,4208461.52,3781.151611,38.3095144313518
0.977,255024.544,4208461.495,3781.166504,38.3019300278035
1.01,255024.5166,4208461.469,3781.178955,38.2953435720906
1.05,255024.4891,4208461.443,3781.191406,38.2873599894082
1.09,255024.4617,4208461.417,3781.20459,38.2793764067258
1.13,255024.4343,4208461.392,3781.219482,38.2713928240434
1.16,255024.4069,4208461.366,3781.233154,38.2654051370316
1.2,255024.3795,4208461.34,3781.248535,38.2574215543493
1.24,255024.3521,4208461.315,3781.265137,38.2494379716669
1.28,255024.3247,4208461.289,3781.28125,38.2414543889845
1.31,255024.2973,4208461.263,3781.297119,38.2354667019727
1.35,255024.2699,4208461.238,3781.304443,38.2274831192903
1.39,255024.2425,4208461.212,3781.320068,38.219499536608
1.43,255024.2151,4208461.186,3781.334717,38.2115159539256
1.47,255024.1877,4208461.16,3781.348877,38.2035323712432
1.5,255024.1603,4208461.135,3781.362793,38.1975446842314
1.54,255024.1328,4208461.109,3781.379639,38.1895611015491
1.58,255024.1054,4208461.083,3781.396973,38.1815775188667
1.62,255024.078,4208461.058,3781.4104,38.1735939361843
1.65,255024.0506,4208461.032,3781.428467,38.1676062491725
1.69,255024.0232,4208461.006,3781.446045,38.1596226664901
1.73,255023.9958,4208460.981,3781.458008,38.1516390838078
1.77,255023.9684,4208460.955,3781.468506,38.1436555011254
1.8,255023.941,4208460.929,3781.477051,38.1376678141136
1.84,255023.9136,4208460.904,3781.483398,38.1296842314312
1.88,255023.8862,4208460.878,3781.48999,38.1217006487488
1.92,255023.8588,4208460.852,3781.496338,38.1137170660665
1.95,255023.8314,4208460.826,3781.498047,38.1077293790547
1.99,255023.8039,4208460.801,3781.505859,38.0997457963723
2.03,255023.7765,4208460.775,3781.513672,38.0917622136899
2.07,255023.7491,4208460.749,3781.520264,38.0837786310075
2.1,255023.7217,4208460.724,3781.526611,38.0777909439958
2.14,255023.6943,4208460.698,3781.53125,38.0698073613134
2.18,255023.6669,4208460.672,3781.536377,38.061823778631
2.22,255023.6395,4208460.647,3781.541748,38.0538401959486
2.25,255023.6121,4208460.621,3781.546143,38.0478525089368
2.29,255023.5847,4208460.595,3781.549805,38.0398689262545
2.33,255023.5573,4208460.57,3781.55249,38.0318853435721
2.37,255023.5299,4208460.544,3781.55542,38.0239017608897
2.4,255023.5025,4208460.518,3781.558105,38.0179140738779
2.44,255023.475,4208460.492,3781.560059,38.0099304911955
2.48,255023.4476,4208460.467,3781.562988,38.0019469085132
2.52,255023.4202,4208460.441,3781.564697,37.9939633258308
2.55,255023.3928,4208460.415,3781.562988,37.987975638819
2.59,255023.3654,4208460.39,3781.565186,37.9799920561366
2.63,255023.338,4208460.364,3781.56665,37.9720084734543
2.67,255023.3106,4208460.338,3781.568115,37.9640248907719
2.7,255023.2832,4208460.313,3781.570313,37.9580372037601
2.74,255023.2558,4208460.287,3781.572266,37.9500536210777
2.78,255023.2284,4208460.261,3781.574219,37.9420700383953
2.82,255023.201,4208460.235,3781.57666,37.934086455713
2.86,255023.1736,4208460.21,3781.579834,37.9261028730306
2.89,255023.1462,4208460.184,3781.582764,37.9201151860188
2.93,255023.1187,4208460.158,3781.587158,37.9121316033364
2.97,255023.0913,4208460.133,3781.59082,37.904148020654
3.01,255023.0639,4208460.107,3781.594727,37.8961644379717
3.04,255023.0365,4208460.081,3781.599609,37.8901767509599
3.08,255023.0091,4208460.056,3781.605469,37.8821931682775
3.12,255022.9817,4208460.03,3781.61084,37.8742095855951
3.16,255022.9543,4208460.004,3781.616455,37.8662260029127
3.19,255022.9269,4208459.979,3781.617676,37.860238315901
3.23,255022.8995,4208459.953,3781.625977,37.8522547332186
3.27,255022.8721,4208459.927,3781.635254,37.8442711505362
3.31,255022.8447,4208459.901,3781.647217,37.8362875678538
3.34,255022.8173,4208459.876,3781.659668,37.830299880842
3.38,255022.7898,4208459.85,3781.673828,37.8223162981597
3.42,255022.7624,4208459.824,3781.687744,37.8143327154773
3.46,255022.735,4208459.799,3781.702148,37.8063491327949
3.49,255022.7076,4208459.773,3781.717041,37.8003614457831
3.53,255022.6802,4208459.747,3781.73291,37.7923778631008
3.57,255022.6528,4208459.722,3781.749268,37.7843942804184
3.61,255022.6254,4208459.696,3781.764893,37.776410697736
3.64,255022.598,4208459.67,3781.780029,37.7704230107242
3.68,255022.5706,4208459.644,3781.795898,37.7624394280418
3.72,255022.5432,4208459.619,3781.813477,37.7544558453595
3.76,255022.5158,4208459.593,3781.830811,37.7464722626771
3.79,255022.4884,4208459.567,3781.840088,37.7404845756653
3.83,255022.4609,4208459.542,3781.85791,37.7325009929829
3.87,255022.4335,4208459.516,3781.880859,37.7245174103005
3.91,255022.4061,4208459.49,3781.901855,37.7165338276182
3.94,255022.3787,4208459.465,3781.921387,37.7105461406064
3.98,255022.3513,4208459.439,3781.94043,37.702562557924
4.02,255022.3239,4208459.413,3781.95752,37.6945789752416
4.06,255022.2965,4208459.388,3781.974365,37.6865953925592
4.1,255022.2691,4208459.362,3781.990234,37.6786118098769
4.13,255022.2417,4208459.336,3782.005615,37.6726241228651
4.17,255022.2143,4208459.31,3782.018311,37.6646405401827
4.21,255022.1869,4208459.285,3782.031982,37.6566569575003
4.25,255022.1595,4208459.259,3782.04541,37.6486733748179
4.28,255022.1321,4208459.233,3782.061035,37.6426856878062
4.32,255022.1046,4208459.208,3782.076416,37.6347021051238
4.36,255022.0772,4208459.182,3782.089111,37.6267185224414
4.4,255022.0498,4208459.156,3782.097168,37.618734939759
4.43,255022.0224,4208459.131,3782.109375,37.6127472527472
4.47,255021.995,4208459.105,3782.120361,37.6047636700649
4.51,255021.9676,4208459.079,3782.12915,37.5967800873825
4.55,255021.9402,4208459.053,3782.137451,37.5887965047001
4.58,255021.9128,4208459.028,3782.144775,37.5828088176883
4.62,255021.8854,4208459.002,3782.153076,37.574825235006
4.66,255021.858,4208458.976,3782.161865,37.5668416523236
4.7,255021.8306,4208458.951,3782.17041,37.5588580696412
4.73,255021.8032,4208458.925,3782.179199,37.5528703826294
4.77,255021.7757,4208458.899,3782.189453,37.544886799947
4.81,255021.7483,4208458.874,3782.198975,37.5369032172647
4.85,255021.7209,4208458.848,3782.209229,37.5289196345823
4.88,255021.6935,4208458.822,3782.218994,37.5229319475705
4.92,255021.6661,4208458.797,3782.228271,37.5149483648881
4.96,255021.6387,4208458.771,3782.239258,37.5069647822057
5,255021.6113,4208458.745,3782.25,37.4989811995234
5.03,255021.5839,4208458.719,3782.257324,37.4929935125116
5.07,255021.5565,4208458.694,3782.267578,37.4850099298292
5.11,255021.5291,4208458.668,3782.276855,37.4770263471468
5.15,255021.5017,4208458.642,3782.2854,37.4690427644644
5.18,255021.4743,4208458.617,3782.294189,37.4630550774527
5.22,255021.4468,4208458.591,3782.302979,37.4550714947703
