x,E,N,z,h
1.367620346,259961.2861,4203339.794,3558.639404,20.7312694204394
1.395530965,259961.31,4203339.78,3558.639404,20.7349522724111
1.423441584,259961.3338,4203339.765,3558.634521,20.7386351243827
1.451352204,259961.3577,4203339.751,3558.634766,20.7423179764864
1.479262823,259961.3816,4203339.737,3558.635254,20.746000828458
1.507173442,259961.4055,4203339.722,3558.630615,20.7496836804297
1.535084062,259961.4293,4203339.708,3558.631592,20.7533665325333
1.562994681,259961.4532,4203339.693,3558.62793,20.757049384505
1.5909053,259961.4771,4203339.679,3558.628662,20.7607322364767
1.61881592,259961.501,4203339.664,3558.629395,20.7644150885803
1.646726539,259961.5249,4203339.65,3558.624268,20.768097940552
1.674637158,259961.5487,4203339.635,3558.625244,20.7717807925237
1.702547778,259961.5726,4203339.621,3558.618652,20.7754636446273
1.730458397,259961.5965,4203339.606,3558.619873,20.779146496599
1.758369016,259961.6204,4203339.592,3558.621094,20.7828293485706
1.786279635,259961.6442,4203339.578,3558.614014,20.7865122005423
1.814190255,259961.6681,4203339.563,3558.616455,20.7901950526459
1.842100874,259961.692,4203339.549,3558.609619,20.7938779046176
1.870011493,259961.7159,4203339.534,3558.614258,20.7975607565893
1.897922113,259961.7397,4203339.52,3558.619385,20.8012436086929
1.925832732,259961.7636,4203339.505,3558.614746,20.8049264606646
1.953743351,259961.7875,4203339.491,3558.621338,20.8086093126363
1.981653971,259961.8114,4203339.476,3558.617188,20.8122921647399
2.00956459,259961.8353,4203339.462,3558.626709,20.8159750167116
2.037475209,259961.8591,4203339.447,3558.633789,20.8196578686832
2.065385828,259961.883,4203339.433,3558.631836,20.8233407206549
2.093296448,259961.9069,4203339.419,3558.640137,20.8270235727585
2.121207067,259961.9308,4203339.404,3558.638428,20.8307064247302
2.149117686,259961.9546,4203339.39,3558.645752,20.8343892767019
2.177028306,259961.9785,4203339.375,3558.652832,20.8380721288055
2.204938925,259962.0024,4203339.361,3558.649658,20.8417549807772
2.232849544,259962.0263,4203339.346,3558.653809,20.8454378327489
2.260760164,259962.0502,4203339.332,3558.650146,20.8491206848525
2.288670783,259962.074,4203339.317,3558.652588,20.8528035368242
2.316581402,259962.0979,4203339.303,3558.65332,20.8564863887959
2.344492022,259962.1218,4203339.288,3558.648438,20.8601692408995
2.372402641,259962.1457,4203339.274,3558.648193,20.8638520928712
2.40031326,259962.1695,4203339.26,3558.646484,20.8675349448428
2.428223879,259962.1934,4203339.245,3558.639893,20.8712177968145
2.456134499,259962.2173,4203339.231,3558.637939,20.8749006489181
2.484045118,259962.2412,4203339.216,3558.630371,20.8785835008898
2.511955737,259962.2651,4203339.202,3558.627441,20.8822663528615
2.539866357,259962.2889,4203339.187,3558.624023,20.8859492049651
2.567776976,259962.3128,4203339.173,3558.617676,20.8896320569368
2.595687595,259962.3367,4203339.158,3558.614746,20.8933149089085
2.623598215,259962.3606,4203339.144,3558.608154,20.8969977610121
2.651508834,259962.3844,4203339.13,3558.60498,20.9006806129838
2.679419453,259962.4083,4203339.115,3558.602539,20.9043634649554
2.707330072,259962.4322,4203339.101,3558.595215,20.9080463169271
2.735240692,259962.4561,4203339.086,3558.592773,20.9117291690307
2.763151311,259962.48,4203339.072,3558.58667,20.9154120210024
2.79106193,259962.5038,4203339.057,3558.585205,20.9190948729741
2.81897255,259962.5277,4203339.043,3558.58374,20.9227777250777
2.846883169,259962.5516,4203339.028,3558.579102,20.9264605770494
2.874793788,259962.5755,4203339.014,3558.579102,20.9301434290211
2.902704408,259962.5993,4203338.999,3558.575195,20.9338262811247
2.930615027,259962.6232,4203338.985,3558.575684,20.9375091330964
2.958525646,259962.6471,4203338.971,3558.577148,20.941191985068
2.986436265,259962.671,4203338.956,3558.573975,20.9448748370397
3.014346885,259962.6949,4203338.942,3558.576172,20.9485576891434
3.042257504,259962.7187,4203338.927,3558.573486,20.952240541115
3.070168123,259962.7426,4203338.913,3558.576416,20.9559233930867
3.098078743,259962.7665,4203338.898,3558.582031,20.9596062451903
3.125989362,259962.7904,4203338.884,3558.579346,20.963289097162
3.153899981,259962.8142,4203338.869,3558.591553,20.9669719491337
3.181810601,259962.8381,4203338.855,3558.591797,20.9706548012373
3.20972122,259962.862,4203338.84,3558.612305,20.974337653209
3.237631839,259962.8859,4203338.826,3558.635742,20.9780205051807
3.265542459,259962.9097,4203338.812,3558.637939,20.9817033572843
3.293453078,259962.9336,4203338.797,3558.654053,20.985386209256
3.321363697,259962.9575,4203338.783,3558.655518,20.9890690612276
3.349274316,259962.9814,4203338.768,3558.668457,20.9927519131993
3.377184936,259963.0053,4203338.754,3558.682373,20.9964347653029
3.405095555,259963.0291,4203338.739,3558.683105,21.0001176172746
3.433006174,259963.053,4203338.725,3558.692871,21.0038004692463
