x,E,N,z,h
2.045163593,255238.6189,4208518.168,3752.417236,35.7646109794994
2.076627648,255238.5915,4208518.183,3752.427002,35.7706875805581
2.108091703,255238.5641,4208518.199,3752.42749,35.7767641816167
2.139555759,255238.5367,4208518.214,3752.436279,35.7828407828685
2.171019814,255238.5092,4208518.23,3752.436768,35.7889173839271
2.202483869,255238.4818,4208518.245,3752.445801,35.7949939849858
2.233947924,255238.4544,4208518.26,3752.454102,35.8010705860444
2.26541198,255238.427,4208518.276,3752.454346,35.8071471872962
2.296876035,255238.3996,4208518.291,3752.462402,35.8132237883549
2.32834009,255238.3721,4208518.307,3752.462891,35.8193003894135
2.359804146,255238.3447,4208518.322,3752.471191,35.8253769906653
2.391268201,255238.3173,4208518.338,3752.471924,35.8314535917239
2.422732256,255238.2899,4208518.353,3752.481689,35.8375301927826
2.454196311,255238.2624,4208518.368,3752.483398,35.8436067938412
2.485660367,255238.235,4208518.384,3752.493652,35.849683395093
2.517124422,255238.2076,4208518.399,3752.503906,35.8557599961517
2.548588477,255238.1802,4208518.415,3752.505371,35.8618365972103
2.580052533,255238.1527,4208518.43,3752.515137,35.8679131984621
2.611516588,255238.1253,4208518.445,3752.516357,35.8739897995207
2.642980643,255238.0979,4208518.461,3752.524658,35.8800664005794
2.674444698,255238.0705,4208518.476,3752.525146,35.886143001638
2.705908754,255238.0431,4208518.492,3752.531494,35.8922196028898
2.737372809,255238.0156,4208518.507,3752.537109,35.8982962039485
2.768836864,255237.9882,4208518.523,3752.537598,35.9043728050071
2.800300919,255237.9608,4208518.538,3752.542969,35.9104494060658
2.831764975,255237.9334,4208518.553,3752.543457,35.9165260073175
2.86322903,255237.9059,4208518.569,3752.548584,35.9226026083762
2.894693085,255237.8785,4208518.584,3752.549316,35.9286792094348
2.926157141,255237.8511,4208518.6,3752.556152,35.9347558106866
2.957621196,255237.8237,4208518.615,3752.557373,35.9408324117453
2.989085251,255237.7962,4208518.631,3752.565918,35.9469090128039
3.020549306,255237.7688,4208518.646,3752.575195,35.9529856138626
3.052013362,255237.7414,4208518.661,3752.578857,35.9590622151144
3.083477417,255237.714,4208518.677,3752.591064,35.965138816173
3.114941472,255237.6866,4208518.692,3752.595215,35.9712154172316
3.146405527,255237.6591,4208518.708,3752.610352,35.9772920182903
3.177869583,255237.6317,4208518.723,3752.615967,35.9833686195421
3.209333638,255237.6043,4208518.739,3752.632568,35.9894452206007
3.240797693,255237.5769,4208518.754,3752.647461,35.9955218216594
3.272261749,255237.5494,4208518.769,3752.653076,36.0015984229112
3.303725804,255237.522,4208518.785,3752.666504,36.0076750239698
3.335189859,255237.4946,4208518.8,3752.670654,36.0137516250285
3.366653914,255237.4672,4208518.816,3752.681885,36.0198282260871
3.39811797,255237.4397,4208518.831,3752.685303,36.0259048273389
3.429582025,255237.4123,4208518.847,3752.695557,36.0319814283975
3.46104608,255237.3849,4208518.862,3752.69751,36.0380580294562
3.492510135,255237.3575,4208518.877,3752.707275,36.0441346305148
3.523974191,255237.33,4208518.893,3752.717041,36.0502112317666
3.555438246,255237.3026,4208518.908,3752.719482,36.0562878328253
3.586902301,255237.2752,4208518.924,3752.727783,36.0623644338839
3.618366357,255237.2478,4208518.939,3752.72876,36.0684410351357
3.649830412,255237.2204,4208518.955,3752.736572,36.0745176361943
3.681294467,255237.1929,4208518.97,3752.737793,36.080594237253
3.712758522,255237.1655,4208518.985,3752.745361,36.0866708383116
3.744222578,255237.1381,4208519.001,3752.75293,36.0927474395634
3.775686633,255237.1107,4208519.016,3752.753906,36.0988240406221
3.807150688,255237.0832,4208519.032,3752.760986,36.1049006416807
3.838614743,255237.0558,4208519.047,3752.761719,36.1109772427394
3.870078799,255237.0284,4208519.063,3752.769043,36.1170538439911
3.901542854,255237.001,4208519.078,3752.768799,36.1231304450498
3.933006909,255236.9735,4208519.093,3752.776123,36.1292070461084
3.964470965,255236.9461,4208519.109,3752.782715,36.1352836473602
3.99593502,255236.9187,4208519.124,3752.781494,36.1413602484189
4.027399075,255236.8913,4208519.14,3752.787354,36.1474368494775
4.05886313,255236.8639,4208519.155,3752.785889,36.1535134505362
4.090327186,255236.8364,4208519.171,3752.790771,36.1595900517879
4.121791241,255236.809,4208519.186,3752.788574,36.1656666528466
4.153255296,255236.7816,4208519.201,3752.793945,36.1717432539052
4.184719352,255236.7542,4208519.217,3752.790283,36.177819855157
4.216183407,255236.7267,4208519.232,3752.794922,36.1838964562157
4.247647462,255236.6993,4208519.248,3752.798584,36.1899730572743
4.279111517,255236.6719,4208519.263,3752.794922,36.196049658333
4.310575573,255236.6445,4208519.278,3752.79834,36.2021262595847
4.342039628,255236.617,4208519.294,3752.793701,36.2082028606434
4.373503683,255236.5896,4208519.309,3752.796143,36.214279461702
4.404967738,255236.5622,4208519.325,3752.791016,36.2203560627607
4.436431794,255236.5348,4208519.34,3752.792236,36.2264326640125
4.467895849,255236.5073,4208519.356,3752.793457,36.2325092650711
4.499359904,255236.4799,4208519.371,3752.787598,36.2385858661298
4.53082396,255236.4525,4208519.386,3752.788574,36.2446624673816
4.562288015,255236.4251,4208519.402,3752.782471,36.2507390684402
4.59375207,255236.3977,4208519.417,3752.782715,36.2568156694989
4.625216125,255236.3702,4208519.433,3752.776611,36.2628922705575
4.656680181,255236.3428,4208519.448,3752.776611,36.2689688718093
4.688144236,255236.3154,4208519.464,3752.77124,36.2750454728679
4.719608291,255236.288,4208519.479,3752.77124,36.2811220739266
4.751072346,255236.2605,4208519.494,3752.77124,36.2871986749852
4.782536402,255236.2331,4208519.51,3752.765869,36.293275276237
4.814000457,255236.2057,4208519.525,3752.765625,36.2993518772957
4.845464512,255236.1783,4208519.541,3752.759766,36.3054284783543
4.876928568,255236.1508,4208519.556,3752.759521,36.3115050796061
4.908392623,255236.1234,4208519.572,3752.753174,36.3175816806647
4.939856678,255236.096,4208519.587,3752.752197,36.3236582817234
4.971320733,255236.0686,4208519.602,3752.751709,36.329734882782
5.002784789,255236.0412,4208519.618,3752.745361,36.3358114840338
5.034248844,255236.0137,4208519.633,3752.744385,36.3418880850925
5.065712899,255235.9863,4208519.649,3752.737793,36.3479646861511
5.097176954,255235.9589,4208519.664,3752.736328,36.3540412872098
5.12864101,255235.9315,4208519.68,3752.729736,36.3601178884615
5.160105065,255235.904,4208519.695,3752.728027,36.3661944895202
5.19156912,255235.8766,4208519.71,3752.72168,36.3722710905788
5.223033176,255235.8492,4208519.726,3752.720459,36.3783476918306
5.254497231,255235.8218,4208519.741,3752.718994,36.3844242928893
5.285961286,255235.7943,4208519.757,3752.712402,36.3905008939479
5.317425341,255235.7669,4208519.772,3752.71167,36.3965774950066
5.348889397,255235.7395,4208519.788,3752.705811,36.4026540962583
5.380353452,255235.7121,4208519.803,3752.705322,36.408730697317
5.411817507,255235.6846,4208519.818,3752.700439,36.4148072983756
5.443281563,255235.6572,4208519.834,3752.700684,36.4208838996274
5.474745618,255235.6298,4208519.849,3752.701172,36.4269605006861
5.506209673,255235.6024,4208519.865,3752.697021,36.4330371017447
5.537673728,255235.575,4208519.88,3752.697998,36.4391137028034
5.569137784,255235.5475,4208519.896,3752.69458,36.4451903040552
5.600601839,255235.5201,4208519.911,3752.695801,36.4512669051138
5.632065894,255235.4927,4208519.926,3752.692627,36.4573435061724
5.663529949,255235.4653,4208519.942,3752.69458,36.4634201072311
5.694994005,255235.4378,4208519.957,3752.696289,36.4694967084829
5.72645806,255235.4104,4208519.973,3752.692871,36.4755733095415
5.757922115,255235.383,4208519.988,3752.694824,36.4816499106002
5.789386171,255235.3556,4208520.003,3752.69165,36.487726511852
5.820850226,255235.3281,4208520.019,3752.693604,36.4938031129106
5.852314281,255235.3007,4208520.034,3752.689941,36.4998797139693
5.883778336,255235.2733,4208520.05,3752.69165,36.5059563150279
5.915242392,255235.2459,4208520.065,3752.687988,36.5120329162797
5.946706447,255235.2185,4208520.081,3752.689941,36.5181095173383
5.978170502,255235.191,4208520.096,3752.692383,36.524186118397
6.009634557,255235.1636,4208520.111,3752.688721,36.5302627194556
6.041098613,255235.1362,4208520.127,3752.690674,36.5363393207074
6.072562668,255235.1088,4208520.142,3752.686279,36.5424159217661
