x,E,N,z
0,260102.7315,4203478.239,3506.785645
0.025161225,260102.7236,4203478.215,3506.789795
0.050322451,260102.7156,4203478.191,3506.792236
0.075483676,260102.7077,4203478.168,3506.80835
0.100644901,260102.6997,4203478.144,3506.814453
0.125806127,260102.6918,4203478.12,3506.820801
0.150967352,260102.6838,4203478.096,3506.837891
0.176128578,260102.6758,4203478.072,3506.843018
0.201289803,260102.6679,4203478.048,3506.850586
0.226451028,260102.6599,4203478.024,3506.875977
0.251612254,260102.652,4203478,3506.88501
0.276773479,260102.644,4203477.977,3506.892334
0.301934704,260102.6361,4203477.953,3506.905762
0.32709593,260102.6281,4203477.929,3506.9104
0.352257155,260102.6201,4203477.905,3506.915283
0.37741838,260102.6122,4203477.881,3506.925781
0.402579606,260102.6042,4203477.857,3506.931396
0.427740831,260102.5963,4203477.833,3506.936768
0.452902056,260102.5883,4203477.809,3506.946045
0.478063282,260102.5804,4203477.786,3506.950684
0.503224507,260102.5724,4203477.762,3506.954346
0.528385733,260102.5644,4203477.738,3506.959229
0.553546958,260102.5565,4203477.714,3506.960938
0.578708183,260102.5485,4203477.69,3506.963379
0.603869409,260102.5406,4203477.666,3506.974121
0.629030634,260102.5326,4203477.642,3506.982666
0.654191859,260102.5247,4203477.619,3506.993164
0.679353085,260102.5167,4203477.595,3507.015137
0.70451431,260102.5088,4203477.571,3507.027832
0.729675535,260102.5008,4203477.547,3507.041992
0.754836761,260102.4928,4203477.523,3507.068848
0.779997986,260102.4849,4203477.499,3507.080078
0.805159212,260102.4769,4203477.475,3507.087891
0.830320437,260102.469,4203477.451,3507.099854
0.855481662,260102.461,4203477.428,3507.106201
0.880642888,260102.4531,4203477.404,3507.111572
0.905804113,260102.4451,4203477.38,3507.118896
0.930965338,260102.4371,4203477.356,3507.121582
0.956126564,260102.4292,4203477.332,3507.124268
0.981287789,260102.4212,4203477.308,3507.129639
1.006449014,260102.4133,4203477.284,3507.133545
1.03161024,260102.4053,4203477.26,3507.137939
1.056771465,260102.3974,4203477.237,3507.147461
1.08193269,260102.3894,4203477.213,3507.154541
1.107093916,260102.3814,4203477.189,3507.163086
1.132255141,260102.3735,4203477.165,3507.184326
1.157416367,260102.3655,4203477.141,3507.196777
1.182577592,260102.3576,4203477.117,3507.20874
1.207738817,260102.3496,4203477.093,3507.232666
