x,E,N,z
0,255240.374,4208517.181,3751.730713
0.031464055,255240.3466,4208517.196,3751.746582
0.062928111,255240.3192,4208517.211,3751.769775
0.094392166,255240.2918,4208517.227,3751.784912
0.125856221,255240.2643,4208517.242,3751.805908
0.157320276,255240.2369,4208517.258,3751.820801
0.188784332,255240.2095,4208517.273,3751.840088
0.220248387,255240.1821,4208517.289,3751.852783
0.251712442,255240.1546,4208517.304,3751.87085
0.283176497,255240.1272,4208517.319,3751.889404
0.314640553,255240.0998,4208517.335,3751.901123
0.346104608,255240.0724,4208517.35,3751.918701
0.377568663,255240.045,4208517.366,3751.930908
0.409032719,255240.0175,4208517.381,3751.949951
0.440496774,255239.9901,4208517.397,3751.962646
0.471960829,255239.9627,4208517.412,3751.98291
0.503424884,255239.9353,4208517.427,3752.001709
0.53488894,255239.9078,4208517.443,3752.012695
0.566352995,255239.8804,4208517.458,3752.031738
0.59781705,255239.853,4208517.474,3752.04248
0.629281105,255239.8256,4208517.489,3752.060059
0.660745161,255239.7981,4208517.505,3752.069824
0.692209216,255239.7707,4208517.52,3752.085205
0.723673271,255239.7433,4208517.535,3752.093506
0.755137327,255239.7159,4208517.551,3752.107422
0.786601382,255239.6885,4208517.566,3752.120117
0.818065437,255239.661,4208517.582,3752.127441
0.849529492,255239.6336,4208517.597,3752.139404
0.880993548,255239.6062,4208517.613,3752.146484
0.912457603,255239.5788,4208517.628,3752.157471
0.943921658,255239.5513,4208517.643,3752.163574
0.975385714,255239.5239,4208517.659,3752.174072
1.006849769,255239.4965,4208517.674,3752.183594
1.038313824,255239.4691,4208517.69,3752.187744
1.069777879,255239.4416,4208517.705,3752.197266
1.101241935,255239.4142,4208517.72,3752.200928
1.13270599,255239.3868,4208517.736,3752.210449
1.164170045,255239.3594,4208517.751,3752.215088
1.1956341,255239.3319,4208517.767,3752.228271
1.227098156,255239.3045,4208517.782,3752.233398
1.258562211,255239.2771,4208517.798,3752.249512
1.290026266,255239.2497,4208517.813,3752.268066
1.321490322,255239.2223,4208517.828,3752.274902
1.352954377,255239.1948,4208517.844,3752.293457
1.384418432,255239.1674,4208517.859,3752.299072
1.415882487,255239.14,4208517.875,3752.316895
1.447346543,255239.1126,4208517.89,3752.321533
1.478810598,255239.0851,4208517.906,3752.334961
1.510274653,255239.0577,4208517.921,3752.344971
1.541738708,255239.0303,4208517.936,3752.346924
1.573202764,255239.0029,4208517.952,3752.353516
1.604666819,255238.9754,4208517.967,3752.35498
1.636130874,255238.948,4208517.983,3752.361572
1.66759493,255238.9206,4208517.998,3752.362061
1.699058985,255238.8932,4208518.014,3752.368408
1.73052304,255238.8658,4208518.029,3752.368652
1.761987095,255238.8383,4208518.044,3752.375
1.793451151,255238.8109,4208518.06,3752.38208
1.824915206,255238.7835,4208518.075,3752.382324
1.856379261,255238.7561,4208518.091,3752.390137
1.887843316,255238.7286,4208518.106,3752.390625
1.919307372,255238.7012,4208518.122,3752.398926
1.950771427,255238.6738,4208518.137,3752.39917
1.982235482,255238.6464,4208518.152,3752.407959
2.013699538,255238.6189,4208518.168,3752.416992
2.045163593,255238.5915,4208518.183,3752.417236
2.076627648,255238.5641,4208518.199,3752.427002
2.108091703,255238.5367,4208518.214,3752.42749
2.139555759,255238.5092,4208518.23,3752.436279
2.171019814,255238.4818,4208518.245,3752.436768
2.202483869,255238.4544,4208518.26,3752.445801
2.233947924,255238.427,4208518.276,3752.454102
2.26541198,255238.3996,4208518.291,3752.454346
2.296876035,255238.3721,4208518.307,3752.462402
2.32834009,255238.3447,4208518.322,3752.462891
2.359804146,255238.3173,4208518.338,3752.471191
2.391268201,255238.2899,4208518.353,3752.471924
2.422732256,255238.2624,4208518.368,3752.481689
2.454196311,255238.235,4208518.384,3752.483398
2.485660367,255238.2076,4208518.399,3752.493652
2.517124422,255238.1802,4208518.415,3752.503906
2.548588477,255238.1527,4208518.43,3752.505371
2.580052533,255238.1253,4208518.445,3752.515137
2.611516588,255238.0979,4208518.461,3752.516357
2.642980643,255238.0705,4208518.476,3752.524658
2.674444698,255238.0431,4208518.492,3752.525146
2.705908754,255238.0156,4208518.507,3752.531494
2.737372809,255237.9882,4208518.523,3752.537109
2.768836864,255237.9608,4208518.538,3752.537598
2.800300919,255237.9334,4208518.553,3752.542969
2.831764975,255237.9059,4208518.569,3752.543457
2.86322903,255237.8785,4208518.584,3752.548584
2.894693085,255237.8511,4208518.6,3752.549316
2.926157141,255237.8237,4208518.615,3752.556152
2.957621196,255237.7962,4208518.631,3752.557373
2.989085251,255237.7688,4208518.646,3752.565918
3.020549306,255237.7414,4208518.661,3752.575195
3.052013362,255237.714,4208518.677,3752.578857
3.083477417,255237.6866,4208518.692,3752.591064
3.114941472,255237.6591,4208518.708,3752.595215
3.146405527,255237.6317,4208518.723,3752.610352
3.177869583,255237.6043,4208518.739,3752.615967
3.209333638,255237.5769,4208518.754,3752.632568
3.240797693,255237.5494,4208518.769,3752.647461
3.272261749,255237.522,4208518.785,3752.653076
3.303725804,255237.4946,4208518.8,3752.666504
3.335189859,255237.4672,4208518.816,3752.670654
3.366653914,255237.4397,4208518.831,3752.681885
3.39811797,255237.4123,4208518.847,3752.685303
3.429582025,255237.3849,4208518.862,3752.695557
3.46104608,255237.3575,4208518.877,3752.69751
3.492510135,255237.33,4208518.893,3752.707275
3.523974191,255237.3026,4208518.908,3752.717041
3.555438246,255237.2752,4208518.924,3752.719482
3.586902301,255237.2478,4208518.939,3752.727783
3.618366357,255237.2204,4208518.955,3752.72876
3.649830412,255237.1929,4208518.97,3752.736572
3.681294467,255237.1655,4208518.985,3752.737793
3.712758522,255237.1381,4208519.001,3752.745361
3.744222578,255237.1107,4208519.016,3752.75293
3.775686633,255237.0832,4208519.032,3752.753906
3.807150688,255237.0558,4208519.047,3752.760986
3.838614743,255237.0284,4208519.063,3752.761719
3.870078799,255237.001,4208519.078,3752.769043
3.901542854,255236.9735,4208519.093,3752.768799
3.933006909,255236.9461,4208519.109,3752.776123
3.964470965,255236.9187,4208519.124,3752.782715
3.99593502,255236.8913,4208519.14,3752.781494
4.027399075,255236.8639,4208519.155,3752.787354
4.05886313,255236.8364,4208519.171,3752.785889
4.090327186,255236.809,4208519.186,3752.790771
4.121791241,255236.7816,4208519.201,3752.788574
4.153255296,255236.7542,4208519.217,3752.793945
4.184719352,255236.7267,4208519.232,3752.790283
4.216183407,255236.6993,4208519.248,3752.794922
4.247647462,255236.6719,4208519.263,3752.798584
4.279111517,255236.6445,4208519.278,3752.794922
4.310575573,255236.617,4208519.294,3752.79834
4.342039628,255236.5896,4208519.309,3752.793701
4.373503683,255236.5622,4208519.325,3752.796143
4.404967738,255236.5348,4208519.34,3752.791016
4.436431794,255236.5073,4208519.356,3752.792236
4.467895849,255236.4799,4208519.371,3752.793457
4.499359904,255236.4525,4208519.386,3752.787598
4.53082396,255236.4251,4208519.402,3752.788574
4.562288015,255236.3977,4208519.417,3752.782471
4.59375207,255236.3702,4208519.433,3752.782715
4.625216125,255236.3428,4208519.448,3752.776611
4.656680181,255236.3154,4208519.464,3752.776611
4.688144236,255236.288,4208519.479,3752.77124
4.719608291,255236.2605,4208519.494,3752.77124
4.751072346,255236.2331,4208519.51,3752.77124
4.782536402,255236.2057,4208519.525,3752.765869
4.814000457,255236.1783,4208519.541,3752.765625
4.845464512,255236.1508,4208519.556,3752.759766
4.876928568,255236.1234,4208519.572,3752.759521
4.908392623,255236.096,4208519.587,3752.753174
