x,E,N,z
0,255071.691,4208575.413,3767.812256
0.029548443,255071.7184,4208575.424,3767.801758
0.059096886,255071.7458,4208575.435,3767.791504
0.088645329,255071.7732,4208575.446,3767.781494
0.118193772,255071.8005,4208575.457,3767.772461
0.147742215,255071.8279,4208575.468,3767.763672
0.177290659,255071.8553,4208575.479,3767.756592
0.206839102,255071.8827,4208575.49,3767.748535
0.236387545,255071.91,4208575.502,3767.741455
0.265935988,255071.9374,4208575.513,3767.735596
0.295484431,255071.9648,4208575.524,3767.729004
0.325032874,255071.9922,4208575.535,3767.722656
0.354581317,255072.0195,4208575.546,3767.7146
0.38412976,255072.0469,4208575.557,3767.706055
0.413678203,255072.0743,4208575.568,3767.698242
0.443226646,255072.1017,4208575.579,3767.690186
0.472775089,255072.129,4208575.591,3767.682373
0.502323532,255072.1564,4208575.602,3767.674072
0.531871976,255072.1838,4208575.613,3767.666016
0.561420419,255072.2112,4208575.624,3767.659668
0.590968862,255072.2385,4208575.635,3767.653076
0.620517305,255072.2659,4208575.646,3767.647949
0.650065748,255072.2933,4208575.657,3767.641357
0.679614191,255072.3207,4208575.668,3767.634766
0.709162634,255072.3481,4208575.679,3767.629883
0.738711077,255072.3754,4208575.691,3767.623535
0.76825952,255072.4028,4208575.702,3767.61792
0.797807963,255072.4302,4208575.713,3767.61084
0.827356406,255072.4576,4208575.724,3767.603516
0.856904849,255072.4849,4208575.735,3767.597656
0.886453293,255072.5123,4208575.746,3767.5896
0.916001736,255072.5397,4208575.757,3767.582275
0.945550179,255072.5671,4208575.768,3767.57373
0.975098622,255072.5944,4208575.78,3767.565186
1.004647065,255072.6218,4208575.791,3767.559082
1.034195508,255072.6492,4208575.802,3767.550049
1.063743951,255072.6766,4208575.813,3767.544189
1.093292394,255072.7039,4208575.824,3767.536133
1.122840837,255072.7313,4208575.835,3767.530762
1.15238928,255072.7587,4208575.846,3767.523682
1.181937723,255072.7861,4208575.857,3767.517578
1.211486166,255072.8134,4208575.869,3767.51416
1.24103461,255072.8408,4208575.88,3767.508789
1.270583053,255072.8682,4208575.891,3767.506104
