"Trace Number","Position","Number of points per trace","Elevation data","Total odometer ticks","# bytes/point","Time Sampling Interval (ps)","# of stacks","GPS X Position","GPS Y Position","GPS Z Position","Receiver X Position","Receiver Y Position","Receiver Z Position","Transmitter X Position","Transmitter Y Position","Transmitter Z Position","Timezero adjustment","Zero Trace Flag","Time of Day","Comment flag","Comments","RX_YAW (degrees)","RX_PITCH (degrees)","RX_ROLL (degrees)","TX_YAW (degrees)","TX_PITCH (degrees)","TX_ROLL (degrees)",
1,4.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,2.000,0.000,0.000,-2.000,0.000,51.000,"0x0",42289.8828125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
2,5.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,2.500,0.000,0.000,-2.500,0.000,51.000,"0x0",42309.640625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
3,6.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,3.000,0.000,0.000,-3.000,0.000,51.000,"0x0",42325.3046875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
4,7.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,3.500,0.000,0.000,-3.500,0.000,51.000,"0x0",42339.74609375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
5,8.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,4.000,0.000,0.000,-4.000,0.000,51.000,"0x0",42355.9375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
6,9.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,4.500,0.000,0.000,-4.500,0.000,51.000,"0x0",42371.33984375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
7,10.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,5.000,0.000,0.000,-5.000,0.000,51.000,"0x0",42389.2578125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
8,11.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,5.500,0.000,0.000,-5.500,0.000,51.000,"0x0",42405.9375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
9,12.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,6.000,0.000,0.000,-6.000,0.000,51.000,"0x0",42427.21484375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
10,13.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,6.500,0.000,0.000,-6.500,0.000,51.000,"0x0",42443.46875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
11,14.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,7.000,0.000,0.000,-7.000,0.000,51.000,"0x0",42454.05859375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
12,15.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,7.500,0.000,0.000,-7.500,0.000,51.000,"0x0",42466.66796875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
13,16.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,8.000,0.000,0.000,-8.000,0.000,51.000,"0x0",42479.625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
14,17.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,8.500,0.000,0.000,-8.500,0.000,51.000,"0x0",42493.83984375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
15,18.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,9.000,0.000,0.000,-9.000,0.000,51.000,"0x0",42507.88671875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
16,19.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,9.500,0.000,0.000,-9.500,0.000,51.000,"0x0",42518.1171875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
17,20.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,10.000,0.000,0.000,-10.000,0.000,51.000,"0x0",42530.8671875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
18,21.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,10.500,0.000,0.000,-10.500,0.000,51.000,"0x0",42541.2421875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
19,22.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,11.000,0.000,0.000,-11.000,0.000,51.000,"0x0",42550.51171875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
20,23.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,11.500,0.000,0.000,-11.500,0.000,51.000,"0x0",42566.41796875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
21,24.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,12.000,0.000,0.000,-12.000,0.000,51.000,"0x0",42577.6015625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
22,25.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,12.500,0.000,0.000,-12.500,0.000,51.000,"0x0",42587.90234375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
23,26.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,13.000,0.000,0.000,-13.000,0.000,51.000,"0x0",42598.34765625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
24,27.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,13.500,0.000,0.000,-13.500,0.000,51.000,"0x0",42611.7734375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
25,28.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,14.000,0.000,0.000,-14.000,0.000,51.000,"0x0",42627.609375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
26,29.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,14.500,0.000,0.000,-14.500,0.000,51.000,"0x0",42639.14453125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
27,30.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,15.000,0.000,0.000,-15.000,0.000,51.000,"0x0",42653.5390625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
28,31.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,15.500,0.000,0.000,-15.500,0.000,51.000,"0x0",42669.421875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
29,32.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,16.000,0.000,0.000,-16.000,0.000,51.000,"0x0",42681.890625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
30,33.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,16.500,0.000,0.000,-16.500,0.000,51.000,"0x0",42695.6015625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
31,34.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,17.000,0.000,0.000,-17.000,0.000,51.000,"0x0",42717.06640625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
32,35.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,17.500,0.000,0.000,-17.500,0.000,51.000,"0x0",42731.79296875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
33,36.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,18.000,0.000,0.000,-18.000,0.000,51.000,"0x0",42756.0625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
34,37.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,18.500,0.000,0.000,-18.500,0.000,51.000,"0x0",42769.0859375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
35,38.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,19.000,0.000,0.000,-19.000,0.000,51.000,"0x0",42783.39453125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
36,39.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,19.500,0.000,0.000,-19.500,0.000,51.000,"0x0",42792.7890625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
37,40.000,500,0.000,0,4,2000.000,2048,0.0000000,0.0000000,0.0000000,0.000,20.000,0.000,0.000,-20.000,0.000,51.000,"0x0",42808.6328125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
