"Trace Number","Position","Number of points per trace","Elevation data","Total odometer ticks","# bytes/point","Time Sampling Interval (ps)","# of stacks","GPS X Position","GPS Y Position","GPS Z Position","Receiver X Position","Receiver Y Position","Receiver Z Position","Transmitter X Position","Transmitter Y Position","Transmitter Z Position","Timezero adjustment","Zero Trace Flag","Time of Day","Comment flag","Comments","RX_YAW (degrees)","RX_PITCH (degrees)","RX_ROLL (degrees)","TX_YAW (degrees)","TX_PITCH (degrees)","TX_ROLL (degrees)",
1,0.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,-0.500,0.000,0.000,0.500,0.000,63.500,"0x0",54713.390625,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
2,0.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,-0.250,0.000,0.000,0.750,0.000,63.500,"0x0",54723.109375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
3,0.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,1.000,0.000,63.500,"0x0",54727.78125,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
4,0.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,0.250,0.000,0.000,1.250,0.000,63.500,"0x0",54732.75,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
5,1.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,0.500,0.000,0.000,1.500,0.000,63.500,"0x0",54736.0234375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
6,1.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,0.750,0.000,0.000,1.750,0.000,63.500,"0x0",54739.921875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
7,1.500,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,1.000,0.000,0.000,2.000,0.000,63.500,"0x0",54743.79296875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
8,1.750,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,1.250,0.000,0.000,2.250,0.000,63.500,"0x0",54747.4609375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
9,2.000,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,1.500,0.000,0.000,2.500,0.000,63.500,"0x0",54749.7734375,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
10,2.250,625,0.000,0,2,800.000,64,0.0000000,0.0000000,0.0000000,0.000,1.750,0.000,0.000,2.750,0.000,63.500,"0x0",54753.4296875,0,"",89.95437383556699729,0,0,89.95437383556699729,0,0,
